#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 12 19 00 00 1 4431.885
2011 03 12 18 45 00 1 4431.881
2011 03 12 18 30 00 1 4431.892
2011 03 12 18 15 00 1 4431.905
2011 03 12 17 59 00 2 4431.892
2011 03 12 17 58 00 2 4431.892
2011 03 12 17 57 00 2 4431.896
2011 03 12 17 56 00 2 4431.892
2011 03 12 17 55 00 2 4431.893
2011 03 12 17 54 00 2 4431.889
2011 03 12 17 53 00 2 4431.889
2011 03 12 17 52 00 2 4431.892
2011 03 12 17 51 00 2 4431.893
2011 03 12 17 50 00 2 4431.893
2011 03 12 17 49 00 2 4431.893
2011 03 12 17 48 00 2 4431.896
2011 03 12 17 47 00 2 4431.895
2011 03 12 17 46 00 2 4431.897
2011 03 12 17 45 00 2 4431.902
2011 03 12 17 44 00 2 4431.902
2011 03 12 17 43 00 2 4431.904
2011 03 12 17 42 00 2 4431.902
2011 03 12 17 41 00 2 4431.896
2011 03 12 17 40 00 2 4431.890
2011 03 12 17 39 00 2 4431.888
2011 03 12 17 38 00 2 4431.887
2011 03 12 17 37 00 2 4431.890
2011 03 12 17 36 00 2 4431.886
2011 03 12 17 35 00 2 4431.883
2011 03 12 17 34 00 2 4431.885
2011 03 12 17 33 00 2 4431.883
2011 03 12 17 32 00 2 4431.878
2011 03 12 17 31 00 2 4431.877
2011 03 12 17 30 00 2 4431.880
2011 03 12 17 29 00 2 4431.879
2011 03 12 17 28 00 2 4431.878
2011 03 12 17 27 00 2 4431.880
2011 03 12 17 26 00 2 4431.882
2011 03 12 17 25 00 2 4431.884
2011 03 12 17 24 00 2 4431.883
2011 03 12 17 23 00 2 4431.885
2011 03 12 17 22 00 2 4431.888
2011 03 12 17 21 00 2 4431.890
2011 03 12 17 20 00 2 4431.890
2011 03 12 17 19 00 2 4431.889
2011 03 12 17 18 00 2 4431.891
2011 03 12 17 17 00 2 4431.893
2011 03 12 17 16 00 2 4431.889
2011 03 12 17 15 00 2 4431.887
2011 03 12 17 14 00 2 4431.887
2011 03 12 17 13 00 2 4431.888
2011 03 12 17 12 00 2 4431.884
2011 03 12 17 11 00 2 4431.882
2011 03 12 17 10 00 2 4431.883
2011 03 12 17 09 00 2 4431.887
2011 03 12 17 08 00 2 4431.885
2011 03 12 17 07 00 2 4431.885
2011 03 12 17 06 00 2 4431.892
2011 03 12 17 05 00 2 4431.887
2011 03 12 17 04 00 2 4431.885
2011 03 12 17 03 00 2 4431.889
2011 03 12 17 02 00 2 4431.889
2011 03 12 17 01 00 2 4431.893
2011 03 12 17 00 00 2 4431.899
2011 03 12 16 59 00 2 4431.904
2011 03 12 16 58 00 2 4431.904
2011 03 12 16 57 00 2 4431.905
2011 03 12 16 56 00 2 4431.904
2011 03 12 16 55 00 2 4431.903
2011 03 12 16 54 00 2 4431.903
2011 03 12 16 53 00 2 4431.903
2011 03 12 16 52 00 2 4431.903
2011 03 12 16 51 00 2 4431.901
2011 03 12 16 50 00 2 4431.901
2011 03 12 16 49 00 2 4431.905
2011 03 12 16 48 00 2 4431.908
2011 03 12 16 47 00 2 4431.907
2011 03 12 16 46 00 2 4431.905
2011 03 12 16 45 00 2 4431.901
2011 03 12 16 44 00 2 4431.901
2011 03 12 16 43 00 2 4431.896
2011 03 12 16 42 00 2 4431.900
2011 03 12 16 41 00 2 4431.896
2011 03 12 16 40 00 2 4431.898
2011 03 12 16 39 00 2 4431.897
2011 03 12 16 38 00 2 4431.892
2011 03 12 16 37 00 2 4431.894
2011 03 12 16 36 00 2 4431.894
2011 03 12 16 35 00 2 4431.889
2011 03 12 16 34 00 2 4431.884
2011 03 12 16 33 00 2 4431.885
